text,polarity,emotion,tone,intensity
This is a terrible experience! therefore,negative,stress,formal,0.89
It works as expected!!!,neutral,neutral,formal,0.42
I hate this so much,negative,anger,casual,0.89
The quality is awful!!,negative,anger,professional,0.95
I am truly impressed!!,positive,happiness,professional,0.85
I feel great about this!!,positive,happiness,casual,0.87
The quality is awful.,negative,anger,professional,0.94
I feel great about this!!!,positive,happiness,casual,0.88
This is absolutely frustrating. in my opinion,negative,anger,formal,0.91
The product is okay.,neutral,neutral,casual,0.48
I absolutely love this product,positive,happiness,casual,0.88
I am truly impressed!!,positive,happiness,professional,0.89
This seems fine.,neutral,neutral,casual,0.45
The result is acceptable!!! in my opinion,neutral,neutral,formal,0.49
I am very disappointed in my opinion,negative,sadness,formal,0.83
This made me anxious!! really,negative,anxiety,casual,0.91
This seems fine!!!,neutral,neutral,casual,0.44
This made me anxious.,negative,anxiety,casual,0.86
It does the job!!!,neutral,neutral,professional,0.43
It does the job!!!,neutral,neutral,professional,0.46
I feel great about this.,positive,happiness,casual,0.86
This exceeded my expectations!!,positive,surprise,professional,0.91
This seems fine bro,neutral,neutral,casual,0.44
The service was excellent.,positive,happiness,formal,0.92
The quality is awful.,negative,anger,professional,0.95
I am very satisfied with the result!,positive,happiness,formal,0.9
I absolutely love this product honestly,positive,happiness,casual,0.95
This is a fantastic experience.,positive,happiness,formal,0.87
This is a terrible experience!!,negative,stress,formal,0.94
Nothing special here,neutral,neutral,casual,0.41
This seems fine!!!,neutral,neutral,casual,0.39
Nothing special here!! really,neutral,neutral,casual,0.35
I absolutely love this product,positive,happiness,casual,0.92
What a wonderful outcome.,positive,surprise,formal,0.85
This is absolutely frustrating.,negative,anger,formal,0.92
I feel great about this. kinda,positive,happiness,casual,0.85
The quality is awful!,negative,anger,professional,0.95
I feel great about this!,positive,happiness,casual,0.89
I feel great about this!!! lol,positive,happiness,casual,0.86
The product is okay! honestly,neutral,neutral,casual,0.43
Nothing special here,neutral,neutral,casual,0.4
I hate this so much,negative,anger,casual,0.91
I am very disappointed. therefore,negative,sadness,formal,0.85
The product is okay.,neutral,neutral,casual,0.46
This is absolutely frustrating,negative,anger,formal,0.93
This is average,neutral,neutral,professional,0.36
I hate this so much!!!,negative,anger,casual,0.92
This is absolutely frustrating! overall,negative,anger,formal,0.97
This is average!!!,neutral,neutral,professional,0.37
I regret buying this!!,negative,sadness,casual,0.9
It does the job!!,neutral,neutral,professional,0.47
The service was excellent!!,positive,happiness,formal,0.96
This exceeded my expectations,positive,surprise,professional,0.88
This is a fantastic experience!!!,positive,happiness,formal,0.89
The service was excellent!!! in my opinion,positive,happiness,formal,0.88
I am very disappointed.,negative,sadness,formal,0.87
I hate this so much honestly,negative,anger,casual,0.93
This exceeded my expectations.,positive,surprise,professional,0.86
I regret buying this!!!,negative,sadness,casual,0.87
I am very satisfied with the result. accordingly,positive,happiness,formal,0.87
This made me anxious.,negative,anxiety,casual,0.95
The quality is awful!!!,negative,anger,professional,0.95
I feel great about this!!!,positive,happiness,casual,0.85
This is a fantastic experience!!!,positive,happiness,formal,0.92
I am very satisfied with the result,positive,happiness,formal,0.92
This made me anxious!,negative,anxiety,casual,0.89
The service was excellent! therefore,positive,happiness,formal,0.93
I am truly impressed!!!,positive,happiness,professional,0.84
This is a fantastic experience.,positive,happiness,formal,0.87
The service was excellent,positive,happiness,formal,0.9
What a wonderful outcome!,positive,surprise,formal,0.82
This is absolutely frustrating,negative,anger,formal,0.93
This made me anxious!! lol,negative,anxiety,casual,0.95
I am truly impressed!!!,positive,happiness,professional,0.8
The service was excellent!!,positive,happiness,formal,0.88
This made me anxious.,negative,anxiety,casual,0.93
This is a terrible experience.,negative,stress,formal,0.87
I regret buying this!!,negative,sadness,casual,0.86
This exceeded my expectations!,positive,surprise,professional,0.92
Nothing special here!!! lol,neutral,neutral,casual,0.4
This is absolutely frustrating! therefore,negative,anger,formal,0.95
I am very satisfied with the result!!! accordingly,positive,happiness,formal,0.87
I am very disappointed,negative,sadness,formal,0.85
I feel stressed about this! kinda,negative,stress,casual,0.87
This is a terrible experience!! sincerely,negative,stress,formal,0.93
I am very disappointed!,negative,sadness,formal,0.85
This is average!!,neutral,neutral,professional,0.42
It works as expected!!! overall,neutral,neutral,formal,0.46
This is a terrible experience!!!,negative,stress,formal,0.88
This is a terrible experience.,negative,stress,formal,0.87
The result is acceptable!!! accordingly,neutral,neutral,formal,0.45
What a wonderful outcome!!!,positive,surprise,formal,0.87
The quality is awful!,negative,anger,professional,0.94
This exceeded my expectations.,positive,surprise,professional,0.87
I hate this so much!!,negative,anger,casual,0.89
This made me anxious!!!,negative,anxiety,casual,0.92
I feel stressed about this!,negative,stress,casual,0.87
I hate this so much!,negative,anger,casual,0.9
The product is okay!,neutral,neutral,casual,0.46
What a wonderful outcome.,positive,surprise,formal,0.81
I regret buying this,negative,sadness,casual,0.83
It works as expected!!!,neutral,neutral,formal,0.42
This is average!,neutral,neutral,professional,0.35
Nothing special here!!! lol,neutral,neutral,casual,0.33
This is average!,neutral,neutral,professional,0.42
This exceeded my expectations!!,positive,surprise,professional,0.84
This is absolutely frustrating,negative,anger,formal,0.9
I am very satisfied with the result therefore,positive,happiness,formal,0.85
I feel great about this.,positive,happiness,casual,0.93
I feel stressed about this.,negative,stress,casual,0.87
This is a fantastic experience!!,positive,happiness,formal,0.91
The service was excellent!!,positive,happiness,formal,0.92
I feel great about this!! really,positive,happiness,casual,0.86
What a wonderful outcome!,positive,surprise,formal,0.87
This is a fantastic experience.,positive,happiness,formal,0.93
The experience was ordinary!!! overall,neutral,neutral,formal,0.4
Nothing special here!!,neutral,neutral,casual,0.39
I absolutely love this product! bro,positive,happiness,casual,0.94
This is average,neutral,neutral,professional,0.42
The quality is awful,negative,anger,professional,0.94
This is absolutely frustrating!!!,negative,anger,formal,0.93
What a wonderful outcome!!!,positive,surprise,formal,0.87
It works as expected. overall,neutral,neutral,formal,0.39
This is absolutely frustrating! overall,negative,anger,formal,0.9
This is a terrible experience!,negative,stress,formal,0.92
I am very satisfied with the result,positive,happiness,formal,0.83
The service was excellent!! accordingly,positive,happiness,formal,0.91
I am very disappointed!!! accordingly,negative,sadness,formal,0.85
It works as expected,neutral,neutral,formal,0.37
I regret buying this.,negative,sadness,casual,0.87
This is absolutely frustrating,negative,anger,formal,0.93
The service was excellent. sincerely,positive,happiness,formal,0.87
It works as expected!,neutral,neutral,formal,0.46
I feel great about this!! bro,positive,happiness,casual,0.85
I am very disappointed!!!,negative,sadness,formal,0.91
I am very disappointed.,negative,sadness,formal,0.9
I feel great about this! lol,positive,happiness,casual,0.85
I absolutely love this product! bro,positive,happiness,casual,0.94
I feel stressed about this.,negative,stress,casual,0.85
I am truly impressed,positive,happiness,professional,0.85
I regret buying this!!,negative,sadness,casual,0.9
I hate this so much!!!,negative,anger,casual,0.92
The product is okay!,neutral,neutral,casual,0.45
I am truly impressed!,positive,happiness,professional,0.88
This is a fantastic experience. accordingly,positive,happiness,formal,0.93
I am truly impressed!!,positive,happiness,professional,0.84
It does the job.,neutral,neutral,professional,0.4
What a wonderful outcome.,positive,surprise,formal,0.83
The product is okay!!,neutral,neutral,casual,0.43
This seems fine!!!,neutral,neutral,casual,0.36
The product is okay!!,neutral,neutral,casual,0.42
This seems fine!! lol,neutral,neutral,casual,0.39
I feel stressed about this,negative,stress,casual,0.92
I feel stressed about this!,negative,stress,casual,0.86
I hate this so much!!!,negative,anger,casual,0.89
This is average!!!,neutral,neutral,professional,0.39
I am very satisfied with the result!!,positive,happiness,formal,0.86
This is a fantastic experience!!,positive,happiness,formal,0.86
I am truly impressed,positive,happiness,professional,0.84
I absolutely love this product!!!,positive,happiness,casual,0.95
This is absolutely frustrating,negative,anger,formal,0.95
I regret buying this!!!,negative,sadness,casual,0.91
I am very disappointed!,negative,sadness,formal,0.93
It does the job!!,neutral,neutral,professional,0.42
I absolutely love this product honestly,positive,happiness,casual,0.88
I feel stressed about this. honestly,negative,stress,casual,0.86
This made me anxious!,negative,anxiety,casual,0.9
I am truly impressed!,positive,happiness,professional,0.9
I feel stressed about this.,negative,stress,casual,0.88
This is average!!!,neutral,neutral,professional,0.4
This is absolutely frustrating.,negative,anger,formal,0.99
I hate this so much!! kinda,negative,anger,casual,0.9
I hate this so much!!,negative,anger,casual,0.89
I absolutely love this product!!,positive,happiness,casual,0.92
I feel great about this. really,positive,happiness,casual,0.85
I am very satisfied with the result!!!,positive,happiness,formal,0.88
This exceeded my expectations.,positive,surprise,professional,0.92
The experience was ordinary!! in my opinion,neutral,neutral,formal,0.38
I am truly impressed!!!,positive,happiness,professional,0.89
I am very disappointed!,negative,sadness,formal,0.85
I hate this so much!!,negative,anger,casual,0.97
It works as expected!!,neutral,neutral,formal,0.39
It does the job!!!,neutral,neutral,professional,0.43
Nothing special here!!,neutral,neutral,casual,0.36
What a wonderful outcome!!,positive,surprise,formal,0.87
I hate this so much!!! bro,negative,anger,casual,0.9
I absolutely love this product!! really,positive,happiness,casual,0.94
This is absolutely frustrating!!!,negative,anger,formal,0.98
What a wonderful outcome!!!,positive,surprise,formal,0.84
I absolutely love this product!,positive,happiness,casual,0.91
I feel great about this!!!,positive,happiness,casual,0.87
The experience was ordinary!! overall,neutral,neutral,formal,0.35
I am very disappointed.,negative,sadness,formal,0.83
It does the job,neutral,neutral,professional,0.38
This is a terrible experience!,negative,stress,formal,0.95
This made me anxious!!!,negative,anxiety,casual,0.88
I regret buying this! lol,negative,sadness,casual,0.86
The result is acceptable.,neutral,neutral,formal,0.4
I feel stressed about this!!!,negative,stress,casual,0.86
This is a terrible experience.,negative,stress,formal,0.95
The service was excellent.,positive,happiness,formal,0.9
This made me anxious!!! really,negative,anxiety,casual,0.93
It works as expected.,neutral,neutral,formal,0.43
The service was excellent.,positive,happiness,formal,0.92
This is a terrible experience!!! overall,negative,stress,formal,0.93
I feel stressed about this,negative,stress,casual,0.92
This is a terrible experience!! sincerely,negative,stress,formal,0.93
I absolutely love this product. lol,positive,happiness,casual,0.95
This is absolutely frustrating,negative,anger,formal,0.9
This is a fantastic experience therefore,positive,happiness,formal,0.85
I feel great about this!!!,positive,happiness,casual,0.92
I regret buying this!!!,negative,sadness,casual,0.91
The service was excellent,positive,happiness,formal,0.93
I feel great about this,positive,happiness,casual,0.84
The service was excellent!!!,positive,happiness,formal,0.92
I absolutely love this product!!!,positive,happiness,casual,0.93
What a wonderful outcome,positive,surprise,formal,0.89
It works as expected!,neutral,neutral,formal,0.47
I am truly impressed!!!,positive,happiness,professional,0.81
I feel stressed about this! really,negative,stress,casual,0.93
I am very satisfied with the result,positive,happiness,formal,0.93
This made me anxious! bro,negative,anxiety,casual,0.85
I regret buying this!,negative,sadness,casual,0.89
It works as expected!!!,neutral,neutral,formal,0.46
I hate this so much,negative,anger,casual,0.97
I hate this so much!,negative,anger,casual,0.89
I am very disappointed!!!,negative,sadness,formal,0.88
This is a fantastic experience,positive,happiness,formal,0.91
It does the job,neutral,neutral,professional,0.43
This is a terrible experience!!,negative,stress,formal,0.91
The service was excellent! overall,positive,happiness,formal,0.88
The product is okay! honestly,neutral,neutral,casual,0.47
I am very disappointed! sincerely,negative,sadness,formal,0.9
The quality is awful.,negative,anger,professional,0.95
This exceeded my expectations!!!,positive,surprise,professional,0.86
This exceeded my expectations!!!,positive,surprise,professional,0.85
I am very disappointed. in my opinion,negative,sadness,formal,0.91
What a wonderful outcome!!,positive,surprise,formal,0.84
I hate this so much!!!,negative,anger,casual,0.98
I absolutely love this product!!!,positive,happiness,casual,0.92
This seems fine!,neutral,neutral,casual,0.44
This is average,neutral,neutral,professional,0.39
This is average!!,neutral,neutral,professional,0.44
I regret buying this! really,negative,sadness,casual,0.91
I feel stressed about this!!!,negative,stress,casual,0.89
I am truly impressed.,positive,happiness,professional,0.83
This is a fantastic experience!,positive,happiness,formal,0.87
I feel great about this!!,positive,happiness,casual,0.91
I absolutely love this product. honestly,positive,happiness,casual,0.89
I am very satisfied with the result,positive,happiness,formal,0.86
I am very disappointed!!,negative,sadness,formal,0.86
I am truly impressed!!,positive,happiness,professional,0.86
I feel stressed about this!!,negative,stress,casual,0.85
This seems fine! lol,neutral,neutral,casual,0.45
I regret buying this!!! honestly,negative,sadness,casual,0.92
I am very satisfied with the result. therefore,positive,happiness,formal,0.84
It works as expected,neutral,neutral,formal,0.41
I feel great about this!,positive,happiness,casual,0.92
I am very satisfied with the result,positive,happiness,formal,0.89
I feel great about this!!,positive,happiness,casual,0.87
I feel stressed about this!!!,negative,stress,casual,0.9
I hate this so much really,negative,anger,casual,0.97
I hate this so much!!,negative,anger,casual,0.98
The service was excellent therefore,positive,happiness,formal,0.89
The service was excellent!!,positive,happiness,formal,0.93
Nothing special here!,neutral,neutral,casual,0.38
This seems fine honestly,neutral,neutral,casual,0.43
I feel great about this!!,positive,happiness,casual,0.94
The service was excellent!!!,positive,happiness,formal,0.92
I am very disappointed!,negative,sadness,formal,0.84
It works as expected,neutral,neutral,formal,0.47
I regret buying this!!,negative,sadness,casual,0.88
It works as expected.,neutral,neutral,formal,0.45
I absolutely love this product,positive,happiness,casual,0.91
The product is okay!!,neutral,neutral,casual,0.45
I absolutely love this product!,positive,happiness,casual,0.89
I am very disappointed!!!,negative,sadness,formal,0.92
This is a terrible experience!!!,negative,stress,formal,0.95
I hate this so much. kinda,negative,anger,casual,0.93
This is average.,neutral,neutral,professional,0.45
I am truly impressed!!,positive,happiness,professional,0.81
The product is okay.,neutral,neutral,casual,0.44
This is absolutely frustrating!!,negative,anger,formal,0.98
I am truly impressed!!,positive,happiness,professional,0.84
The experience was ordinary!!!,neutral,neutral,formal,0.38
This exceeded my expectations,positive,surprise,professional,0.82
What a wonderful outcome! accordingly,positive,surprise,formal,0.81
This is a fantastic experience.,positive,happiness,formal,0.87
This made me anxious lol,negative,anxiety,casual,0.95
This is a fantastic experience!!!,positive,happiness,formal,0.91
This exceeded my expectations,positive,surprise,professional,0.9
The quality is awful.,negative,anger,professional,0.95
What a wonderful outcome!!!,positive,surprise,formal,0.86
I am very disappointed,negative,sadness,formal,0.88
I hate this so much! really,negative,anger,casual,0.95
This is absolutely frustrating!!!,negative,anger,formal,0.92
The quality is awful!!!,negative,anger,professional,0.93
What a wonderful outcome!,positive,surprise,formal,0.87
This is absolutely frustrating!! overall,negative,anger,formal,0.91
This is a terrible experience.,negative,stress,formal,0.93
This is a terrible experience,negative,stress,formal,0.87
Nothing special here! honestly,neutral,neutral,casual,0.38
I absolutely love this product. really,positive,happiness,casual,0.9
The service was excellent,positive,happiness,formal,0.94
It works as expected,neutral,neutral,formal,0.4
The quality is awful,negative,anger,professional,0.94
The product is okay. really,neutral,neutral,casual,0.49
What a wonderful outcome. sincerely,positive,surprise,formal,0.83
text,polarity,emotion,tone,intensity
I am truly impressed,positive,happiness,professional,0.88
This is a fantastic experience!!! accordingly,positive,happiness,formal,0.9
This exceeded my expectations!!!,positive,surprise,professional,0.88
I regret buying this!!!,negative,sadness,casual,0.83
This exceeded my expectations.,positive,surprise,professional,0.88
This is absolutely frustrating accordingly,negative,anger,formal,0.97
I absolutely love this product!,positive,happiness,casual,0.88
The quality is awful.,negative,anger,professional,0.91
I am very satisfied with the result!!,positive,happiness,formal,0.92
The product is okay honestly,neutral,neutral,casual,0.43
Nothing special here!!!,neutral,neutral,casual,0.4
This is average!,neutral,neutral,professional,0.41
I am very disappointed!! therefore,negative,sadness,formal,0.92
This is absolutely frustrating. therefore,negative,anger,formal,0.98
I hate this so much!!,negative,anger,casual,0.94
I am very satisfied with the result!!!,positive,happiness,formal,0.89
This made me anxious!!!,negative,anxiety,casual,0.94
The quality is awful,negative,anger,professional,0.92
It works as expected!!!,neutral,neutral,formal,0.39
I regret buying this!!! bro,negative,sadness,casual,0.88
I feel stressed about this,negative,stress,casual,0.88
This made me anxious!!,negative,anxiety,casual,0.93
I hate this so much! lol,negative,anger,casual,0.97
Nothing special here!! really,neutral,neutral,casual,0.41
I regret buying this,negative,sadness,casual,0.82
I am very satisfied with the result!!!,positive,happiness,formal,0.9
I regret buying this!,negative,sadness,casual,0.84
I feel stressed about this.,negative,stress,casual,0.86
This exceeded my expectations!!,positive,surprise,professional,0.9
I absolutely love this product,positive,happiness,casual,0.91
This is a terrible experience sincerely,negative,stress,formal,0.92
I regret buying this!! really,negative,sadness,casual,0.86
The quality is awful!!!,negative,anger,professional,0.95
This exceeded my expectations!!!,positive,surprise,professional,0.91
Nothing special here!!!,neutral,neutral,casual,0.39
This is average,neutral,neutral,professional,0.38
I feel great about this! kinda,positive,happiness,casual,0.89
I am truly impressed!,positive,happiness,professional,0.82
The result is acceptable!! therefore,neutral,neutral,formal,0.4
This is a fantastic experience!!! accordingly,positive,happiness,formal,0.92
I hate this so much,negative,anger,casual,0.9
I regret buying this!!,negative,sadness,casual,0.88
This is average!!,neutral,neutral,professional,0.35
This is absolutely frustrating.,negative,anger,formal,0.95
The quality is awful!!!,negative,anger,professional,0.91
I am very disappointed. overall,negative,sadness,formal,0.89
The experience was ordinary,neutral,neutral,formal,0.38
The product is okay really,neutral,neutral,casual,0.41
This exceeded my expectations.,positive,surprise,professional,0.89
The product is okay.,neutral,neutral,casual,0.49
I am very satisfied with the result!! accordingly,positive,happiness,formal,0.83
It works as expected!!!,neutral,neutral,formal,0.45
The service was excellent.,positive,happiness,formal,0.93
This is absolutely frustrating!!!,negative,anger,formal,0.93
I regret buying this.,negative,sadness,casual,0.91
This exceeded my expectations!!,positive,surprise,professional,0.91
The service was excellent!!,positive,happiness,formal,0.9
The quality is awful,negative,anger,professional,0.9
This seems fine,neutral,neutral,casual,0.41
I hate this so much.,negative,anger,casual,0.92
I absolutely love this product.,positive,happiness,casual,0.9
This is a terrible experience!!!,negative,stress,formal,0.92
This is a terrible experience!! therefore,negative,stress,formal,0.95
This is a fantastic experience! sincerely,positive,happiness,formal,0.89
What a wonderful outcome!!,positive,surprise,formal,0.8
I regret buying this!! honestly,negative,sadness,casual,0.83
This is absolutely frustrating,negative,anger,formal,0.94
I am truly impressed!!,positive,happiness,professional,0.87
The experience was ordinary in my opinion,neutral,neutral,formal,0.42
The service was excellent! overall,positive,happiness,formal,0.94
This is absolutely frustrating!!!,negative,anger,formal,0.95
The quality is awful!!,negative,anger,professional,0.89
The service was excellent!!,positive,happiness,formal,0.88
I am very disappointed!!,negative,sadness,formal,0.92
This is a fantastic experience!!,positive,happiness,formal,0.89
I am very disappointed,negative,sadness,formal,0.93
This is absolutely frustrating. therefore,negative,anger,formal,0.95
I hate this so much bro,negative,anger,casual,0.97
I absolutely love this product.,positive,happiness,casual,0.9
I am very disappointed!,negative,sadness,formal,0.91
The quality is awful.,negative,anger,professional,0.89
This is a fantastic experience sincerely,positive,happiness,formal,0.91
I am very disappointed!,negative,sadness,formal,0.89
What a wonderful outcome!!,positive,surprise,formal,0.82
I am truly impressed,positive,happiness,professional,0.83
I am very disappointed!! in my opinion,negative,sadness,formal,0.87
This is a fantastic experience!!! accordingly,positive,happiness,formal,0.94
I absolutely love this product,positive,happiness,casual,0.87
I am truly impressed!,positive,happiness,professional,0.88
I absolutely love this product.,positive,happiness,casual,0.93
I regret buying this,negative,sadness,casual,0.91
This exceeded my expectations!!,positive,surprise,professional,0.86
What a wonderful outcome.,positive,surprise,formal,0.85
I regret buying this!!,negative,sadness,casual,0.87
The experience was ordinary,neutral,neutral,formal,0.38
The service was excellent,positive,happiness,formal,0.91
The service was excellent accordingly,positive,happiness,formal,0.93
This exceeded my expectations,positive,surprise,professional,0.87
I hate this so much!!! really,negative,anger,casual,0.94
I am truly impressed!,positive,happiness,professional,0.86
I am very disappointed!,negative,sadness,formal,0.91
I regret buying this honestly,negative,sadness,casual,0.85
The service was excellent.,positive,happiness,formal,0.91
This exceeded my expectations,positive,surprise,professional,0.91
This exceeded my expectations!!,positive,surprise,professional,0.85
This is a fantastic experience.,positive,happiness,formal,0.91
Nothing special here. bro,neutral,neutral,casual,0.38
This is average!!!,neutral,neutral,professional,0.42
This is a fantastic experience!!,positive,happiness,formal,0.95
It works as expected.,neutral,neutral,formal,0.45
This is a terrible experience!,negative,stress,formal,0.95
I am very satisfied with the result!!!,positive,happiness,formal,0.89
The result is acceptable!!,neutral,neutral,formal,0.39
I hate this so much. lol,negative,anger,casual,0.91
This is absolutely frustrating! sincerely,negative,anger,formal,0.94
The quality is awful!,negative,anger,professional,0.97
This is a fantastic experience sincerely,positive,happiness,formal,0.95
This seems fine!,neutral,neutral,casual,0.46
This made me anxious!!! bro,negative,anxiety,casual,0.92
This is absolutely frustrating.,negative,anger,formal,0.94
This made me anxious!!! bro,negative,anxiety,casual,0.91
I am very satisfied with the result!! accordingly,positive,happiness,formal,0.93
Nothing special here,neutral,neutral,casual,0.38
The product is okay,neutral,neutral,casual,0.42
I feel great about this!!,positive,happiness,casual,0.93
This is average.,neutral,neutral,professional,0.45
The product is okay!!! lol,neutral,neutral,casual,0.48
I am very disappointed therefore,negative,sadness,formal,0.89
The service was excellent overall,positive,happiness,formal,0.88
This is a fantastic experience! in my opinion,positive,happiness,formal,0.92
This is absolutely frustrating,negative,anger,formal,0.94
It works as expected!!!,neutral,neutral,formal,0.46
This exceeded my expectations,positive,surprise,professional,0.83
I feel stressed about this!,negative,stress,casual,0.89
It works as expected.,neutral,neutral,formal,0.43
This is a fantastic experience.,positive,happiness,formal,0.94
This exceeded my expectations!!,positive,surprise,professional,0.87
This is a terrible experience!!! in my opinion,negative,stress,formal,0.92
I regret buying this!! honestly,negative,sadness,casual,0.89
What a wonderful outcome!!!,positive,surprise,formal,0.89
I am very satisfied with the result!,positive,happiness,formal,0.86
I am truly impressed,positive,happiness,professional,0.84
The quality is awful.,negative,anger,professional,0.87
I am very satisfied with the result.,positive,happiness,formal,0.91
I feel stressed about this!!!,negative,stress,casual,0.88
I am truly impressed.,positive,happiness,professional,0.86
I hate this so much! kinda,negative,anger,casual,0.98
This made me anxious!,negative,anxiety,casual,0.92
The service was excellent!!!,positive,happiness,formal,0.92
This is a terrible experience!,negative,stress,formal,0.89
I hate this so much.,negative,anger,casual,0.92
The product is okay!!!,neutral,neutral,casual,0.46
I feel stressed about this!!! lol,negative,stress,casual,0.92
The service was excellent.,positive,happiness,formal,0.93
The service was excellent!,positive,happiness,formal,0.93
This is a fantastic experience,positive,happiness,formal,0.91
I feel great about this.,positive,happiness,casual,0.85
This is a fantastic experience!!,positive,happiness,formal,0.94
This made me anxious!! lol,negative,anxiety,casual,0.92
I am very satisfied with the result.,positive,happiness,formal,0.9
I regret buying this! lol,negative,sadness,casual,0.88
I am very satisfied with the result!,positive,happiness,formal,0.9
It does the job!,neutral,neutral,professional,0.4
This is a fantastic experience,positive,happiness,formal,0.85
I am truly impressed.,positive,happiness,professional,0.82
It works as expected.,neutral,neutral,formal,0.45
The quality is awful!!,negative,anger,professional,0.94
The result is acceptable!!,neutral,neutral,formal,0.46
I am very disappointed!,negative,sadness,formal,0.9
This made me anxious lol,negative,anxiety,casual,0.89
This made me anxious!!,negative,anxiety,casual,0.9
This is a fantastic experience.,positive,happiness,formal,0.9
This is a terrible experience!!!,negative,stress,formal,0.93
I absolutely love this product!!!,positive,happiness,casual,0.91
This is a fantastic experience!!,positive,happiness,formal,0.94
This is average!!!,neutral,neutral,professional,0.44
The quality is awful.,negative,anger,professional,0.89
I am very satisfied with the result therefore,positive,happiness,formal,0.93
I regret buying this!,negative,sadness,casual,0.85
This exceeded my expectations!!,positive,surprise,professional,0.87
I am truly impressed!!!,positive,happiness,professional,0.87
I am truly impressed!!!,positive,happiness,professional,0.88
I am truly impressed!,positive,happiness,professional,0.89
I feel stressed about this,negative,stress,casual,0.91
This is absolutely frustrating,negative,anger,formal,0.89
I am very satisfied with the result!,positive,happiness,formal,0.92
This is a terrible experience!,negative,stress,formal,0.95
Nothing special here!!,neutral,neutral,casual,0.41
The quality is awful,negative,anger,professional,0.96
It does the job!!,neutral,neutral,professional,0.42
I regret buying this!!!,negative,sadness,casual,0.91
This exceeded my expectations,positive,surprise,professional,0.9
This seems fine,neutral,neutral,casual,0.44
I am very satisfied with the result!!! sincerely,positive,happiness,formal,0.89
I regret buying this!,negative,sadness,casual,0.88
This is a fantastic experience!,positive,happiness,formal,0.93
This made me anxious!!,negative,anxiety,casual,0.91
This is absolutely frustrating!!! sincerely,negative,anger,formal,0.93
Nothing special here.,neutral,neutral,casual,0.37
The service was excellent!!! in my opinion,positive,happiness,formal,0.94
I am truly impressed!!,positive,happiness,professional,0.82
I absolutely love this product.,positive,happiness,casual,0.9
I am very satisfied with the result.,positive,happiness,formal,0.85
This is average.,neutral,neutral,professional,0.36
It does the job!!!,neutral,neutral,professional,0.43
The service was excellent!,positive,happiness,formal,0.9
I hate this so much!! really,negative,anger,casual,0.96
This exceeded my expectations!!,positive,surprise,professional,0.89
The quality is awful!!!,negative,anger,professional,0.93
This is a fantastic experience! overall,positive,happiness,formal,0.86
This seems fine.,neutral,neutral,casual,0.45
I feel great about this,positive,happiness,casual,0.87
It works as expected.,neutral,neutral,formal,0.39
The service was excellent!!! therefore,positive,happiness,formal,0.93
I absolutely love this product.,positive,happiness,casual,0.97
I hate this so much!,negative,anger,casual,0.93
I am very satisfied with the result.,positive,happiness,formal,0.86
I am truly impressed,positive,happiness,professional,0.84
This made me anxious!!!,negative,anxiety,casual,0.93
The service was excellent.,positive,happiness,formal,0.88
This is a terrible experience. accordingly,negative,stress,formal,0.91
I regret buying this,negative,sadness,casual,0.88
I feel stressed about this!! bro,negative,stress,casual,0.88
What a wonderful outcome.,positive,surprise,formal,0.82
What a wonderful outcome!! overall,positive,surprise,formal,0.86
I am truly impressed!!!,positive,happiness,professional,0.83
I hate this so much!!,negative,anger,casual,0.94
The quality is awful.,negative,anger,professional,0.9
I absolutely love this product!! lol,positive,happiness,casual,0.92
The result is acceptable!! in my opinion,neutral,neutral,formal,0.48
I hate this so much!!! bro,negative,anger,casual,0.9
It works as expected,neutral,neutral,formal,0.39
I am very disappointed accordingly,negative,sadness,formal,0.89
I feel great about this!!,positive,happiness,casual,0.84
I feel great about this.,positive,happiness,casual,0.91
This is a fantastic experience!,positive,happiness,formal,0.88
I am very satisfied with the result,positive,happiness,formal,0.84
I am truly impressed!,positive,happiness,professional,0.83
This is a fantastic experience!!,positive,happiness,formal,0.85
It does the job.,neutral,neutral,professional,0.47
What a wonderful outcome!!!,positive,surprise,formal,0.8
The quality is awful,negative,anger,professional,0.93
I feel stressed about this!!! honestly,negative,stress,casual,0.87
This is a fantastic experience!,positive,happiness,formal,0.92
It works as expected! overall,neutral,neutral,formal,0.46
It works as expected!,neutral,neutral,formal,0.43
I feel great about this!!,positive,happiness,casual,0.91
The service was excellent. therefore,positive,happiness,formal,0.92
I am truly impressed!!,positive,happiness,professional,0.9
The result is acceptable sincerely,neutral,neutral,formal,0.46
This is average!!!,neutral,neutral,professional,0.42
This is average.,neutral,neutral,professional,0.41
The experience was ordinary!!!,neutral,neutral,formal,0.42
I am truly impressed!,positive,happiness,professional,0.8
I am very disappointed!!,negative,sadness,formal,0.89
I feel great about this!! honestly,positive,happiness,casual,0.9
The quality is awful.,negative,anger,professional,0.89
The service was excellent! overall,positive,happiness,formal,0.87
This is a fantastic experience!! sincerely,positive,happiness,formal,0.89
This is absolutely frustrating overall,negative,anger,formal,0.93
What a wonderful outcome!! accordingly,positive,surprise,formal,0.84
This is absolutely frustrating overall,negative,anger,formal,0.9
This is a fantastic experience.,positive,happiness,formal,0.89
The experience was ordinary!!!,neutral,neutral,formal,0.36
It does the job,neutral,neutral,professional,0.39
I am truly impressed!,positive,happiness,professional,0.83
What a wonderful outcome!,positive,surprise,formal,0.85
I am very disappointed!!,negative,sadness,formal,0.91
The result is acceptable!!,neutral,neutral,formal,0.49
